id_registro,data,id_maquina,id_produto,turno,producao_ton,meta_ton,tempo_operacao_h,paradas_h,consumo_energia_mwh,umidade_pct,refugo_ton
41,2025-04-05,5,6,Turno A,974.4,1197.0,19.0,5.0,747.9,7.6,28.87
42,2025-04-05,6,4,Turno B,888.6,1045.0,19.8,4.2,779.2,9.4,26.56
43,2025-04-05,7,6,Turno C,641.9,741.0,20.7,3.3,538.6,9.4,12.5
44,2025-04-05,8,7,Turno A,424.7,494.0,20.7,3.3,393.0,8.0,11.18
45,2025-04-05,9,5,Turno B,500.4,608.0,19.8,4.2,403.2,8.3,10.95
46,2025-04-06,1,1,Turno A,3189.4,3990.0,17.9,6.1,1911.2,8.3,65.33
47,2025-04-06,2,2,Turno B,1221.8,1425.0,19.8,4.2,900.4,7.1,27.99
48,2025-04-06,3,3,Turno C,698.5,855.0,18.6,5.4,426.1,7.4,16.62
49,2025-04-06,4,4,Turno A,959.0,1168.5,18.2,5.8,1005.8,6.7,9.91
50,2025-04-06,5,6,Turno B,1079.2,1197.0,20.2,3.8,1094.1,7.6,9.65
51,2025-04-06,6,4,Turno C,991.1,1045.0,21.7,2.3,1036.9,8.5,5.15
52,2025-04-06,7,6,Turno A,664.7,741.0,20.5,3.5,685.8,6.9,5.24
53,2025-04-06,8,7,Turno B,387.6,494.0,18.5,5.5,361.0,8.7,3.91
54,2025-04-06,9,5,Turno C,516.7,608.0,19.7,4.3,527.9,9.0,3.78
55,2025-04-07,1,1,Turno B,3614.9,3990.0,21.4,2.6,1990.8,8.8,75.65
56,2025-04-07,2,2,Turno C,1305.5,1425.0,20.7,3.3,862.1,7.8,6.84
57,2025-04-07,3,3,Turno A,764.1,855.0,20.0,4.0,558.4,8.1,19.76
58,2025-04-07,4,4,Turno B,1077.6,1168.5,22.1,1.9,849.4,7.4,29.61
59,2025-04-07,5,6,Turno C,1224.8,1197.0,22.9,1.1,1248.9,7.1,13.76
60,2025-04-07,6,4,Turno A,930.6,1045.0,20.1,3.9,944.8,7.7,19.09
61,2025-04-07,7,6,Turno B,675.7,741.0,20.3,3.7,682.0,9.4,17.07
62,2025-04-07,8,7,Turno C,475.2,494.0,23.3,0.7,461.4,7.5,13.43
63,2025-04-07,9,5,Turno A,623.0,608.0,23.0,1.0,618.8,7.3,15.38
64,2025-04-08,1,1,Turno C,3586.3,3990.0,20.1,3.9,2588.3,7.2,91.14
65,2025-04-08,2,2,Turno A,1303.5,1425.0,21.6,2.4,924.3,7.2,7.29
66,2025-04-08,3,3,Turno B,744.2,855.0,20.5,3.5,538.0,9.4,8.91
67,2025-04-08,4,4,Turno C,1115.3,1168.5,22.3,1.7,1164.8,8.1,31.76
68,2025-04-08,5,6,Turno A,1086.8,1197.0,20.2,3.8,873.3,9.4,12.65
69,2025-04-08,6,4,Turno B,903.0,1045.0,20.1,3.9,874.6,7.4,18.2
70,2025-04-08,7,6,Turno C,689.5,741.0,21.8,2.2,636.4,7.3,15.67
71,2025-04-08,8,7,Turno A,436.5,494.0,19.7,4.3,397.9,8.7,10.28
72,2025-04-08,9,5,Turno B,581.5,608.0,22.4,1.6,448.3,8.5,7.71
73,2025-04-09,1,1,Turno A,3728.0,3990.0,21.0,3.0,2587.0,7.4,47.47
74,2025-04-09,2,2,Turno B,1302.4,1425.0,21.3,2.7,793.3,6.9,20.2
75,2025-04-09,3,3,Turno C,882.7,855.0,23.5,0.5,644.9,8.3,11.05
76,2025-04-09,4,4,Turno A,1055.8,1168.5,21.9,2.1,882.7,7.8,20.59
77,2025-04-09,5,6,Turno B,1152.1,1197.0,22.4,1.6,1016.9,7.1,19.39
78,2025-04-09,6,4,Turno C,1083.0,1045.0,23.4,0.6,867.4,6.8,19.37
79,2025-04-09,7,6,Turno A,701.9,741.0,22.3,1.7,698.8,8.8,15.32
80,2025-04-09,8,7,Turno B,427.5,494.0,20.6,3.4,323.8,7.2,7.22
81,2025-04-09,9,5,Turno C,584.3,608.0,23.1,0.9,510.9,8.4,5.76
82,2025-04-10,1,1,Turno B,3880.1,3990.0,22.5,1.5,2323.4,8.5,19.94
83,2025-04-10,2,2,Turno C,1434.7,1425.0,22.7,1.3,819.7,7.8,13.48
84,2025-04-10,3,3,Turno A,872.7,855.0,23.6,0.4,488.8,7.2,22.87
85,2025-04-10,4,4,Turno B,1117.4,1168.5,21.5,2.5,1061.8,9.5,22.22
86,2025-04-10,5,6,Turno C,1261.7,1197.0,23.6,0.4,1178.2,8.7,22.23
87,2025-04-10,6,4,Turno A,1046.0,1045.0,23.1,0.9,1066.0,8.7,17.64
88,2025-04-10,7,6,Turno B,648.5,741.0,20.7,3.3,610.4,8.8,11.69
89,2025-04-10,8,7,Turno C,464.8,494.0,22.2,1.8,359.4,7.4,5.48
90,2025-04-10,9,5,Turno A,553.2,608.0,21.0,3.0,437.9,7.2,12.36
91,2025-04-11,1,1,Turno C,3734.3,3990.0,22.6,1.4,2358.3,8.1,57.49
92,2025-04-11,2,2,Turno A,1254.3,1425.0,20.5,3.5,916.9,8.3,28.08
93,2025-04-11,3,3,Turno B,876.8,855.0,23.2,0.8,548.9,6.5,12.09
94,2025-04-11,4,4,Turno C,1185.8,1168.5,22.8,1.2,1228.5,7.8,28.09
95,2025-04-11,5,6,Turno A,1143.6,1197.0,21.9,2.1,933.4,7.2,18.18
96,2025-04-11,6,4,Turno B,880.4,1045.0,19.8,4.2,839.7,7.7,8.03
97,2025-04-11,7,6,Turno C,667.5,741.0,21.6,2.4,625.2,6.6,9.91
98,2025-04-11,8,7,Turno A,448.9,494.0,22.0,2.0,423.2,6.9,7.43
99,2025-04-11,9,5,Turno B,516.5,608.0,19.9,4.1,420.2,7.5,12.41
100,2025-04-12,1,1,Turno A,3573.0,3990.0,20.1,3.9,2145.4,6.7,19.6
101,2025-04-12,2,2,Turno B,1302.0,1425.0,21.4,2.6,885.4,8.8,27.72
102,2025-04-12,3,3,Turno C,795.8,855.0,22.2,1.8,440.9,7.0,6.49
103,2025-04-12,4,4,Turno A,1017.7,1168.5,20.7,3.3,976.8,8.8,9.36
104,2025-04-12,5,6,Turno B,1047.1,1197.0,21.0,3.0,1042.7,9.4,8.07
105,2025-04-12,6,4,Turno C,808.3,1045.0,17.6,6.4,838.6,7.7,18.49
106,2025-04-12,7,6,Turno A,608.4,741.0,18.8,5.2,474.9,8.8,15.97
107,2025-04-12,8,7,Turno B,426.9,494.0,19.2,4.8,420.4,7.5,6.71
108,2025-04-12,9,5,Turno C,502.4,608.0,19.4,4.6,504.8,9.0,3.84
109,2025-04-13,1,1,Turno B,3907.9,3990.0,22.0,2.0,2702.2,7.8,91.23
110,2025-04-13,2,2,Turno C,1323.2,1425.0,20.9,3.1,870.2,8.0,21.02
111,2025-04-13,3,3,Turno A,764.5,855.0,20.1,3.9,547.5,6.8,20.67
112,2025-04-13,4,4,Turno B,959.8,1168.5,18.8,5.2,829.0,6.6,25.22
113,2025-04-13,5,6,Turno C,952.0,1197.0,17.9,6.1,811.2,9.1,21.45
114,2025-04-13,6,4,Turno A,832.4,1045.0,17.7,6.3,645.7,8.7,14.33
115,2025-04-13,7,6,Turno B,694.3,741.0,21.4,2.6,623.0,8.9,5.09
116,2025-04-13,8,7,Turno C,405.6,494.0,19.3,4.7,375.0,7.9,7.41
117,2025-04-13,9,5,Turno A,524.5,608.0,20.3,3.7,504.0,7.3,5.92
118,2025-04-14,1,1,Turno C,3379.5,3990.0,20.2,3.8,1939.5,8.1,81.29
119,2025-04-14,2,2,Turno A,1225.5,1425.0,20.4,3.6,792.7,8.7,36.05
120,2025-04-14,3,3,Turno B,790.0,855.0,21.8,2.2,450.4,7.1,8.44
121,2025-04-14,4,4,Turno C,984.7,1168.5,20.4,3.6,896.3,7.3,28.91
122,2025-04-14,5,6,Turno A,1154.9,1197.0,21.9,2.1,909.9,9.1,19.95
123,2025-04-14,6,4,Turno B,1056.3,1045.0,23.2,0.8,941.0,7.8,10.15
124,2025-04-14,7,6,Turno C,662.4,741.0,19.9,4.1,591.7,9.0,9.95
125,2025-04-14,8,7,Turno A,431.5,494.0,20.0,4.0,330.6,6.9,8.23
126,2025-04-14,9,5,Turno B,574.3,608.0,20.9,3.1,451.1,8.8,11.58
127,2025-04-15,1,1,Turno A,3849.5,3990.0,22.9,1.1,2519.6,7.9,61.85
128,2025-04-15,2,2,Turno B,1491.5,1425.0,23.2,0.8,911.4,8.4,30.19
129,2025-04-15,3,3,Turno C,872.8,855.0,22.7,1.3,516.3,7.1,18.77
130,2025-04-15,4,4,Turno A,995.2,1168.5,20.3,3.7,768.8,6.5,16.18
131,2025-04-15,5,6,Turno B,1121.2,1197.0,22.1,1.9,918.8,8.6,25.31
132,2025-04-15,6,4,Turno C,988.7,1045.0,21.5,2.5,1015.6,8.9,20.39
133,2025-04-15,7,6,Turno A,744.7,741.0,22.4,1.6,653.5,8.1,15.78
134,2025-04-15,8,7,Turno B,514.0,494.0,23.4,0.6,396.5,7.0,6.52
135,2025-04-15,9,5,Turno C,601.0,608.0,22.7,1.3,502.8,6.9,13.35
136,2025-04-16,1,1,Turno B,4041.6,3990.0,22.5,1.5,2627.4,8.0,28.34
137,2025-04-16,2,2,Turno C,1214.0,1425.0,19.8,4.2,746.0,7.3,8.84
138,2025-04-16,3,3,Turno A,898.7,855.0,23.6,0.4,597.7,9.4,26.95
139,2025-04-16,4,4,Turno B,1108.1,1168.5,22.4,1.6,844.4,8.8,18.57
140,2025-04-16,5,6,Turno C,1199.1,1197.0,22.3,1.7,964.6,8.3,25.02
141,2025-04-16,6,4,Turno A,942.5,1045.0,21.7,2.3,805.3,7.5,20.5
142,2025-04-16,7,6,Turno B,730.5,741.0,23.2,0.8,699.9,7.4,20.91
143,2025-04-16,8,7,Turno C,493.1,494.0,23.0,1.0,437.1,7.4,6.45
144,2025-04-16,9,5,Turno A,615.5,608.0,23.6,0.4,556.6,9.5,13.2
145,2025-04-17,1,1,Turno C,3744.0,3990.0,21.9,2.1,2199.7,7.6,89.52
146,2025-04-17,2,2,Turno A,1401.1,1425.0,22.2,1.8,827.6,8.1,39.5
147,2025-04-17,3,3,Turno B,807.3,855.0,21.5,2.5,463.6,9.4,16.33
148,2025-04-17,4,4,Turno C,1010.2,1168.5,20.7,3.3,924.6,8.2,7.4
149,2025-04-17,5,6,Turno A,1273.4,1197.0,23.7,0.3,1131.3,6.9,32.86
150,2025-04-17,6,4,Turno B,999.7,1045.0,21.7,2.3,902.4,7.3,25.86
151,2025-04-17,7,6,Turno C,740.3,741.0,23.7,0.3,677.7,7.7,20.76
152,2025-04-17,8,7,Turno A,480.3,494.0,21.8,2.2,484.7,7.3,11.89
153,2025-04-17,9,5,Turno B,583.7,608.0,21.4,2.6,526.7,9.0,7.05
154,2025-04-18,1,1,Turno A,3630.9,3990.0,20.9,3.1,2722.4,8.0,31.64
155,2025-04-18,2,2,Turno B,1327.8,1425.0,21.9,2.1,876.9,8.1,21.75
156,2025-04-18,3,3,Turno C,753.4,855.0,21.0,3.0,519.5,8.2,8.17
157,2025-04-18,4,4,Turno A,1105.1,1168.5,22.8,1.2,1075.7,8.6,27.94
158,2025-04-18,5,6,Turno B,1115.6,1197.0,21.3,2.7,1111.4,9.4,19.39
159,2025-04-18,6,4,Turno C,895.5,1045.0,19.8,4.2,830.2,9.1,24.05
160,2025-04-18,7,6,Turno A,689.1,741.0,21.5,2.5,611.3,8.7,10.51
161,2025-04-18,8,7,Turno B,462.0,494.0,22.4,1.6,411.6,9.4,6.22
162,2025-04-18,9,5,Turno C,599.3,608.0,22.5,1.5,602.6,9.1,15.87
163,2025-04-19,1,1,Turno B,3326.5,3990.0,18.9,5.1,2334.8,9.1,19.62
164,2025-04-19,2,2,Turno C,1189.3,1425.0,18.6,5.4,891.4,8.7,18.85
165,2025-04-19,3,3,Turno A,715.2,855.0,18.7,5.3,456.8,8.6,19.73
166,2025-04-19,4,4,Turno B,938.3,1168.5,18.9,5.1,809.2,6.9,17.15
167,2025-04-19,5,6,Turno C,1051.0,1197.0,21.0,3.0,813.1,9.1,21.54
168,2025-04-19,6,4,Turno A,874.1,1045.0,20.0,4.0,776.5,7.3,9.95
169,2025-04-19,7,6,Turno B,624.7,741.0,18.8,5.2,595.5,7.0,10.02
170,2025-04-19,8,7,Turno C,422.3,494.0,19.5,4.5,370.5,7.3,11.04
171,2025-04-19,9,5,Turno A,483.7,608.0,18.4,5.6,397.2,8.2,9.37
172,2025-04-20,1,1,Turno C,3792.6,3990.0,21.1,2.9,2585.2,7.3,72.62
173,2025-04-20,2,2,Turno A,1256.2,1425.0,21.3,2.7,843.3,8.0,34.68
174,2025-04-20,3,3,Turno B,741.7,855.0,19.9,4.1,460.2,8.4,15.22
175,2025-04-20,4,4,Turno C,1084.8,1168.5,21.2,2.8,1086.4,8.4,29.92
176,2025-04-20,5,6,Turno A,1021.8,1197.0,19.9,4.1,944.0,8.7,7.41
177,2025-04-20,6,4,Turno B,866.6,1045.0,19.8,4.2,684.3,8.1,25.38
178,2025-04-20,7,6,Turno C,697.9,741.0,21.2,2.8,577.2,9.0,11.9
179,2025-04-20,8,7,Turno A,457.4,494.0,21.8,2.2,358.9,9.4,3.9
180,2025-04-20,9,5,Turno B,609.0,608.0,22.7,1.3,635.8,9.4,15.29
181,2025-04-21,1,1,Turno A,3746.5,3990.0,21.2,2.8,2071.0,8.1,61.33
182,2025-04-21,2,2,Turno B,1402.3,1425.0,22.4,1.6,935.2,9.0,39.98
183,2025-04-21,3,3,Turno C,725.2,855.0,20.1,3.9,402.5,9.2,13.8
184,2025-04-21,4,4,Turno A,1151.9,1168.5,23.4,0.6,885.8,9.0,31.95
185,2025-04-21,5,6,Turno B,1072.4,1197.0,20.9,3.1,849.3,9.3,13.52
186,2025-04-21,6,4,Turno C,943.2,1045.0,21.7,2.3,958.5,6.9,15.41
187,2025-04-21,7,6,Turno A,733.5,741.0,22.4,1.6,758.3,7.8,17.28
188,2025-04-21,8,7,Turno B,430.1,494.0,20.3,3.7,335.4,8.0,6.54
189,2025-04-21,9,5,Turno C,592.5,608.0,23.6,0.4,510.2,7.8,17.04
190,2025-04-22,1,1,Turno B,3847.8,3990.0,23.2,0.8,2644.0,8.1,113.3
191,2025-04-22,2,2,Turno C,1289.5,1425.0,21.1,2.9,758.2,6.9,33.79
192,2025-04-22,3,3,Turno A,807.3,855.0,21.5,2.5,547.6,8.3,4.47
193,2025-04-22,4,4,Turno B,1128.4,1168.5,22.9,1.1,888.9,8.2,7.58
194,2025-04-22,5,6,Turno C,1147.6,1197.0,22.8,1.2,935.0,9.1,15.16
195,2025-04-22,6,4,Turno A,949.2,1045.0,20.3,3.7,712.7,9.1,8.18
196,2025-04-22,7,6,Turno B,632.2,741.0,20.2,3.8,507.2,8.5,3.57
197,2025-04-22,8,7,Turno C,432.5,494.0,19.7,4.3,355.2,7.5,4.05
198,2025-04-22,9,5,Turno A,534.1,608.0,19.9,4.1,484.9,8.7,9.03
199,2025-04-23,1,1,Turno C,3944.3,3990.0,22.9,1.1,2255.4,8.0,112.95
200,2025-04-23,2,2,Turno A,1254.1,1425.0,19.9,4.1,907.2,8.1,20.63
201,2025-04-23,3,3,Turno B,837.2,855.0,23.6,0.4,540.7,7.7,18.55
202,2025-04-23,4,4,Turno C,1135.4,1168.5,21.7,2.3,876.6,6.7,22.94
203,2025-04-23,5,6,Turno A,1010.4,1197.0,19.9,4.1,949.7,8.1,13.27
204,2025-04-23,6,4,Turno B,1074.7,1045.0,23.7,0.3,952.3,8.3,8.04
205,2025-04-23,7,6,Turno C,744.9,741.0,22.5,1.5,704.1,8.8,17.15
206,2025-04-23,8,7,Turno A,436.8,494.0,20.6,3.4,357.5,7.5,7.14
207,2025-04-23,9,5,Turno B,540.7,608.0,21.4,2.6,474.8,8.5,7.76
208,2025-04-24,1,1,Turno A,3634.9,3990.0,20.3,3.7,2048.0,9.0,26.65
209,2025-04-24,2,2,Turno B,1262.8,1425.0,20.1,3.9,899.6,8.2,24.83
210,2025-04-24,3,3,Turno C,798.9,855.0,22.0,2.0,458.9,7.6,17.28
211,2025-04-24,4,4,Turno A,1186.6,1168.5,22.7,1.3,1146.6,9.4,23.74
212,2025-04-24,5,6,Turno B,1099.7,1197.0,21.1,2.9,895.0,8.5,11.66
213,2025-04-24,6,4,Turno C,937.1,1045.0,20.1,3.9,806.2,8.8,18.14
214,2025-04-24,7,6,Turno A,758.6,741.0,23.0,1.0,790.7,9.0,15.43
215,2025-04-24,8,7,Turno B,455.4,494.0,22.3,1.7,468.5,9.0,5.32
216,2025-04-24,9,5,Turno C,546.2,608.0,20.4,3.6,460.3,7.5,2.81
217,2025-04-25,1,1,Turno B,4028.4,3990.0,23.2,0.8,2538.5,6.9,83.91
218,2025-04-25,2,2,Turno C,1246.7,1425.0,19.8,4.2,739.3,7.8,16.86
219,2025-04-25,3,3,Turno A,798.5,855.0,21.2,2.8,563.2,8.2,5.69
220,2025-04-25,4,4,Turno B,972.9,1168.5,19.9,4.1,910.0,8.5,11.48
221,2025-04-25,5,6,Turno C,1155.8,1197.0,22.4,1.6,1020.1,7.3,27.59
222,2025-04-25,6,4,Turno A,903.6,1045.0,20.1,3.9,754.5,8.5,15.51
223,2025-04-25,7,6,Turno B,687.4,741.0,22.4,1.6,597.1,8.3,3.57
224,2025-04-25,8,7,Turno C,434.5,494.0,20.9,3.1,343.8,7.3,5.74
225,2025-04-25,9,5,Turno A,529.4,608.0,19.7,4.3,425.0,7.6,11.96
226,2025-04-26,1,1,Turno C,3688.6,3990.0,20.8,3.2,2081.9,9.1,22.34
227,2025-04-26,2,2,Turno A,1218.5,1425.0,19.2,4.8,810.5,8.2,27.71
228,2025-04-26,3,3,Turno B,653.3,855.0,18.5,5.5,401.7,8.9,13.36
229,2025-04-26,4,4,Turno C,1086.9,1168.5,22.4,1.6,1090.5,7.2,21.44
230,2025-04-26,5,6,Turno A,999.4,1197.0,19.7,4.3,851.3,7.5,9.2
231,2025-04-26,6,4,Turno B,850.5,1045.0,18.8,5.2,869.0,7.5,19.72
232,2025-04-26,7,6,Turno C,687.5,741.0,22.0,2.0,545.8,7.1,13.79
233,2025-04-26,8,7,Turno A,441.3,494.0,21.3,2.7,433.3,8.0,10.53
234,2025-04-26,9,5,Turno B,564.6,608.0,20.7,3.3,519.1,8.4,11.64
235,2025-04-27,1,1,Turno A,3607.5,3990.0,21.6,2.4,2033.4,7.8,45.35
236,2025-04-27,2,2,Turno B,1098.5,1425.0,17.8,6.2,672.4,7.9,7.05
237,2025-04-27,3,3,Turno C,757.3,855.0,19.8,4.2,546.1,8.3,13.39
238,2025-04-27,4,4,Turno A,1030.7,1168.5,19.9,4.1,1050.0,7.8,26.02
239,2025-04-27,5,6,Turno B,1027.9,1197.0,19.9,4.1,817.4,6.7,7.8
240,2025-04-27,6,4,Turno C,961.5,1045.0,20.9,3.1,866.7,7.0,10.76
241,2025-04-27,7,6,Turno A,624.7,741.0,19.5,4.5,498.3,7.6,7.54
242,2025-04-27,8,7,Turno B,410.9,494.0,19.1,4.9,405.5,8.4,2.73
243,2025-04-27,9,5,Turno C,484.7,608.0,18.8,5.2,468.8,8.5,13.41
244,2025-04-28,1,1,Turno B,3945.5,3990.0,23.2,0.8,2629.9,6.9,54.23
245,2025-04-28,2,2,Turno C,1481.0,1425.0,23.6,0.4,930.6,8.3,42.13
246,2025-04-28,3,3,Turno A,764.9,855.0,20.9,3.1,541.8,8.9,16.64
247,2025-04-28,4,4,Turno B,1189.6,1168.5,23.1,0.9,1136.8,8.1,25.16
248,2025-04-28,5,6,Turno C,1093.1,1197.0,21.4,2.6,938.7,7.0,11.32
249,2025-04-28,6,4,Turno A,1061.7,1045.0,23.5,0.5,868.4,6.9,7.36
250,2025-04-28,7,6,Turno B,713.3,741.0,23.1,0.9,699.9,9.0,19.32
251,2025-04-28,8,7,Turno C,417.0,494.0,19.8,4.2,408.6,6.9,6.01
252,2025-04-28,9,5,Turno A,550.5,608.0,20.3,3.7,540.2,8.9,5.03
253,2025-04-29,1,1,Turno C,3670.0,3990.0,21.5,2.5,2515.0,7.2,59.11
254,2025-04-29,2,2,Turno A,1312.3,1425.0,20.8,3.2,839.6,8.1,16.71
255,2025-04-29,3,3,Turno B,846.4,855.0,23.0,1.0,606.9,7.6,24.27
256,2025-04-29,4,4,Turno C,1192.0,1168.5,23.7,0.3,994.8,7.6,21.68
257,2025-04-29,5,6,Turno A,1256.9,1197.0,23.6,0.4,1244.8,6.9,14.14
258,2025-04-29,6,4,Turno B,1041.0,1045.0,22.3,1.7,953.9,6.8,27.22
259,2025-04-29,7,6,Turno C,726.6,741.0,23.2,0.8,711.3,7.3,20.08
260,2025-04-29,8,7,Turno A,430.4,494.0,20.3,3.7,445.0,7.2,7.01
261,2025-04-29,9,5,Turno B,530.4,608.0,21.1,2.9,406.3,8.0,5.78
262,2025-04-30,1,1,Turno A,4045.0,3990.0,23.7,0.3,2247.6,9.3,105.09
263,2025-04-30,2,2,Turno B,1411.4,1425.0,22.3,1.7,815.1,7.4,36.34
264,2025-04-30,3,3,Turno C,804.4,855.0,22.5,1.5,555.9,7.8,4.13
265,2025-04-30,4,4,Turno A,987.3,1168.5,20.0,4.0,987.8,8.1,22.89
266,2025-04-30,5,6,Turno B,1088.9,1197.0,21.8,2.2,910.8,7.4,6.74
267,2025-04-30,6,4,Turno C,991.7,1045.0,21.4,2.6,879.8,6.8,27.4
268,2025-04-30,7,6,Turno A,676.7,741.0,22.1,1.9,612.2,7.2,5.81
269,2025-04-30,8,7,Turno B,462.2,494.0,21.4,2.6,380.0,7.7,9.99
270,2025-04-30,9,5,Turno C,548.9,608.0,20.0,4.0,422.8,8.1,9.71
271,2025-05-01,1,1,Turno B,4107.6,3990.0,23.7,0.3,2579.9,7.9,85.82
272,2025-05-01,2,2,Turno C,1425.1,1425.0,23.7,0.3,788.4,8.9,19.41
273,2025-05-01,3,3,Turno A,847.2,855.0,22.7,1.3,596.7,8.7,11.28
274,2025-05-01,4,4,Turno B,1006.8,1168.5,19.9,4.1,1000.8,7.0,24.65
275,2025-05-01,5,6,Turno C,1135.7,1197.0,21.6,2.4,1067.0,8.9,7.47
276,2025-05-01,6,4,Turno A,1027.5,1045.0,22.8,1.2,861.1,6.6,10.26
277,2025-05-01,7,6,Turno B,660.6,741.0,19.9,4.1,597.6,9.5,12.27
278,2025-05-01,8,7,Turno C,452.3,494.0,20.7,3.3,365.2,7.6,11.09
279,2025-05-01,9,5,Turno A,600.4,608.0,23.2,0.8,472.7,7.6,16.35
280,2025-05-02,1,1,Turno C,4056.3,3990.0,22.7,1.3,2544.6,9.4,70.6
281,2025-05-02,2,2,Turno A,1388.3,1425.0,21.7,2.3,907.7,8.9,32.18
282,2025-05-02,3,3,Turno B,745.7,855.0,20.0,4.0,532.8,8.1,9.72
283,2025-05-02,4,4,Turno C,1024.8,1168.5,20.0,4.0,862.8,8.3,16.04
284,2025-05-02,5,6,Turno A,1147.5,1197.0,22.5,1.5,875.2,9.1,15.85
285,2025-05-02,6,4,Turno B,1050.2,1045.0,23.8,0.2,1096.4,9.3,7.22
286,2025-05-02,7,6,Turno C,704.4,741.0,22.3,1.7,697.6,8.5,20.3
287,2025-05-02,8,7,Turno A,436.7,494.0,20.3,3.7,429.9,6.6,2.92
288,2025-05-02,9,5,Turno B,593.0,608.0,22.9,1.1,512.9,8.2,11.94
289,2025-05-03,1,1,Turno A,3722.7,3990.0,21.9,2.1,2615.6,8.2,67.89
290,2025-05-03,2,2,Turno B,1197.5,1425.0,19.9,4.1,685.8,8.7,20.93
291,2025-05-03,3,3,Turno C,709.0,855.0,19.6,4.4,426.9,7.8,21.21
292,2025-05-03,4,4,Turno A,1019.0,1168.5,20.2,3.8,801.7,9.1,16.61
293,2025-05-03,5,6,Turno B,1054.8,1197.0,21.2,2.8,1006.9,9.0,13.7
